LB,Bonding_Atom,BF3_Affinity(kJ/mol),MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nX,nR03,nR05,nR06,nR07,nR08,nR09,nR10,nBnz,nCp,nCs,nCt,nCq,nCrs,nCrt,nCrq,nCar,nCbH,nCb-,nCconj,nR=Cp,nR=Cs,nR=Ct,nRCOOR,nArCOOR,nRCONR2,nArCONR2,nROCON,nArCHO,nRCO,nArCO,nCONN,nC=O(O)2,nRNHR,nRNR2,nArNR2,nN-N,nRCN,nArCN,nN+,nNq,nRNO2,nArNO2,nROR,nArOR,nRSR,nSO,nSO2,nPO4,nP(=O)O2R,nP(=O)R3/nPR5,nCH2RX,nCRX3,nArX,nCXr,nCXr=,nCconjX,nPyrrolidines,nOxolanes,ntH-Thiophenes,nThiophenes,nPyridines,nHDon,nHAcc,C-001,C-002,C-003,C-004,C-005,C-006,C-008,C-011,C-013,C-015,C-016,C-017,C-019,C-024,C-025,C-026,C-027,C-028,C-029,C-033,C-034,C-037,C-038,C-039,C-040,C-041,H-046,H-047,H-048,H-049,H-050,H-051,H-052,H-053,O-058,O-059,O-060,O-061,N-067,N-068,N-071,N-072,N-074,N-075,N-076,N-077,N-079,F-083,F-084,Cl-086,Cl-089,Cl-090,Br-094,S-107,S-108,S-109,S-110,P-116,P-117,P-120,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP
98,O,60.24,150.19,7.15,13.01,21.07,13.72,27.33,0.62,1,0.65,2.48,21,11,21,11,7,15,0.545,1,1,3,0.143,1,0,6,10,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.79,42.307,26.3,26.3,1.539,1.469
99,O,67.46,88.12,6.29,7.41,14.19,7.95,17.67,0.53,1.01,0.57,2.94,14,6,13,5,1,6,0,0,0,2,0.154,1,0,0,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.614,22.798,26.3,26.3,-0.226,-0.294
100,O,68.07,114.21,5.19,11.7,21.51,12.78,19.33,0.53,0.98,0.58,2.42,22,8,21,7,1,8,0,0,0,2,0.095,1,0,0,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,34.598,17.07,17.07,1.795,2.015
101,O,68.65,134.19,6.71,12.5,19.75,13.26,23.83,0.63,0.99,0.66,2.38,20,10,20,10,7,14,0.6,1,1,2,0.1,1,0,6,10,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.864,40.917,17.07,17.07,2.152,1.455
102,O,70.7,142.27,5.08,14.89,27.28,16.31,21.67,0.53,0.97,0.58,2.17,28,10,27,9,1,10,0,0,0,6,0.222,1,0,0,18,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.864,43.853,17.07,17.07,2.446,2.915
103,O,72.28,86.15,5.38,8.5,15.75,9.26,15.67,0.53,0.98,0.58,2.61,16,6,15,5,1,6,0,0,0,2,0.133,1,0,0,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.767,25.449,17.07,17.07,1.064,1.09
104,O,72.83,100.18,5.27,10.1,18.63,11.02,17.92,0.53,0.98,0.58,2.56,19,7,18,6,1,7,0,0,0,1,0.056,1,0,0,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.802,29.897,17.07,17.07,1.442,1.302
105,O,73.28,114.21,5.19,11.7,21.51,12.78,18.67,0.53,0.98,0.58,2.33,22,8,21,7,1,8,0,0,0,4,0.19,1,0,0,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,34.651,17.07,17.07,1.795,2.002
106,O,73.32,114.21,5.19,11.7,21.51,12.78,19.42,0.53,0.98,0.58,2.43,22,8,21,7,1,8,0,0,0,2,0.095,1,0,0,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,34.446,17.07,17.07,1.795,1.337
107,O,73.73,100.18,5.27,10.1,18.63,11.02,17.5,0.53,0.98,0.58,2.5,19,7,18,6,1,7,0,0,0,2,0.111,1,0,0,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.802,29.997,17.07,17.07,1.442,1.342
108,O,74.15,170.33,5.01,18.09,33.05,19.83,24.67,0.53,0.97,0.58,2.06,34,12,33,11,1,12,0,0,0,8,0.242,1,0,0,22,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.888,53.029,17.07,17.07,3.953,3.616
109,O,74.3,128.24,5.13,13.29,24.4,14.55,20.17,0.53,0.98,0.58,2.24,25,9,24,8,1,9,0,0,0,5,0.208,1,0,0,16,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.848,39.226,17.07,17.07,2.129,2.248
110,O,74.47,128.24,5.13,13.29,24.4,14.55,20.5,0.53,0.98,0.58,2.28,25,9,24,8,1,9,0,0,0,4,0.167,1,0,0,16,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.848,39.199,17.07,17.07,2.129,2.254
111,O,74.6,100.18,5.27,10.1,18.63,11.02,17.17,0.53,0.98,0.58,2.45,19,7,18,6,1,7,0,0,0,3,0.167,1,0,0,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.802,30.024,17.07,17.07,1.442,1.335
112,O,74.84,114.21,5.19,11.7,21.51,12.78,19,0.53,0.98,0.58,2.38,22,8,21,7,1,8,0,0,0,3,0.143,1,0,0,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,34.572,17.07,17.07,1.795,1.587
113,O,74.84,86.15,5.38,8.5,15.75,9.26,16,0.53,0.98,0.58,2.67,16,6,15,5,1,6,0,0,0,1,0.067,1,0,0,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.767,25.396,17.07,17.07,1.064,0.885
114,O,75.09,100.18,5.27,10.1,18.63,11.02,17.5,0.53,0.98,0.58,2.5,19,7,18,6,1,7,0,0,0,2,0.111,1,0,0,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.802,29.971,17.07,17.07,1.442,1.131
115,O,75.59,178.3,5.75,17.89,30.28,19.31,24.92,0.58,0.98,0.62,1.92,31,13,33,15,1,16,0,3,7,1,0.03,1,0,0,18,12,0,1,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,6,3,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.897,51.939,17.07,17.07,2.93,2.312
116,O,76.03,58.09,5.81,5.31,9.98,5.74,12.67,0.53,1,0.57,3.17,10,4,9,3,1,4,0,0,0,0,0,1,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.646,16.195,17.07,17.07,0.202,-0.244
117,O,76.07,72.12,5.55,6.9,12.86,7.5,14.17,0.53,0.99,0.58,2.83,13,5,12,4,1,5,0,0,0,1,0.083,1,0,0,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.719,20.822,17.07,17.07,0.655,0.423
118,O,76.19,86.15,5.38,8.5,15.75,9.26,15.67,0.53,0.98,0.58,2.61,16,6,15,5,1,6,0,0,0,2,0.133,1,0,0,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.767,25.423,17.07,17.07,1.064,0.879
119,O,83.2,84.13,6.01,7.9,13.86,8.5,15,0.56,0.99,0.61,2.5,14,6,14,6,1,7,0,1,1,1,0.071,1,0,0,8,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.767,23.594,17.07,17.07,0.672,0.514
120,O,87.48,110.17,6.12,10.5,17.75,11.26,17.33,0.58,0.99,0.63,2.17,18,8,19,9,1,10,0,2,2,2,0.105,1,0,0,10,7,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,30.993,17.07,17.07,1.403,1.272
121,O,55.95,140.25,5.39,14.29,25.4,15.55,21.75,0.55,0.98,0.6,2.18,26,10,26,10,1,11,0,1,1,0,0,1,0,0,16,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.864,41.897,17.07,17.07,2.054,2.516
122,O,70.3,70.1,6.37,6.31,10.98,6.74,13.17,0.57,1,0.61,2.63,11,5,11,5,1,6,0,1,1,0,0,1,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.719,19.045,17.07,17.07,0.263,0.262
123,O,70.64,112.19,5.61,11.1,19.63,12.02,18.33,0.55,0.98,0.6,2.29,20,8,20,8,1,9,0,1,1,0,0,1,0,0,12,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,32.795,17.07,17.07,1.403,1.643
124,O,73.93,126.22,5.49,12.7,22.51,13.78,19.92,0.55,0.98,0.6,2.21,23,9,23,9,1,10,0,1,1,0,0,1,0,0,14,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.848,37.323,17.07,17.07,1.737,2.054
125,O,75.09,126.22,5.49,12.7,22.51,13.78,20.25,0.55,0.98,0.6,2.25,23,9,23,9,1,10,0,1,1,0,0,1,0,0,14,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.848,37.271,17.07,17.07,1.737,1.849
126,O,75.25,112.19,5.61,11.1,19.63,12.02,18.42,0.55,0.98,0.6,2.3,20,8,20,8,1,9,0,1,1,0,0,1,0,0,12,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,32.722,17.07,17.07,1.403,1.598
127,O,76.03,112.19,5.61,11.1,19.63,12.02,18,0.55,0.98,0.6,2.25,20,8,20,8,1,9,0,1,1,0,0,1,0,0,12,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,32.822,17.07,17.07,1.403,1.637
128,O,76.36,98.16,5.77,9.5,16.75,10.26,16.17,0.56,0.99,0.6,2.31,17,7,17,7,1,8,0,1,1,0,0,1,0,0,10,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.802,28.247,17.07,17.07,1.05,1.174
129,O,76.97,140.25,5.39,14.29,25.4,15.55,21.75,0.55,0.98,0.6,2.18,26,10,26,10,1,11,0,1,1,0,0,1,0,0,16,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.864,41.82,17.07,17.07,2.054,1.884
130,O,77.22,110.17,6.12,10.5,17.75,11.26,17.33,0.58,0.99,0.63,2.17,18,8,19,9,1,10,0,2,3,0,0,1,0,0,10,7,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,30.967,17.07,17.07,1.403,1.061
131,O,77.22,98.16,5.77,9.5,16.75,10.26,16.5,0.56,0.99,0.6,2.36,17,7,17,7,1,8,0,1,1,0,0,1,0,0,10,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.802,28.221,17.07,17.07,1.05,1.181
132,O,77.3,112.19,5.61,11.1,19.63,12.02,18,0.55,0.98,0.6,2.25,20,8,20,8,1,9,0,1,1,0,0,1,0,0,12,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.828,32.796,17.07,17.07,1.403,1.426
